image_id,level,taxon,species_count,major_clade,dominant_order,representative_genus,prompt_group,composition_archetype,key_traits,habitat,lighting,palette,mood,confidence,review_status,review_notes,draft_prompt
family-avisauridae,family,Avisauridae,9,Saurischia,,"Avisaurus, Bauxitornis, Enantiophoenix",early_bird_perching,"early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable","small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile",branchy woodland edge or lakeside grove with open sky windows around the wings,soft daylight with cool atmospheric depth,"cream, warm brown, charcoal, moss green, and pale teal sky","delicate, alert, and natural-history refined",medium,draft_ready,Many of these lineages need a final anatomical check for wing and tail proportions.,"Create a square illustrated dinosaur family card for Avisauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable. Emphasize the defining anatomy: small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: branchy woodland edge or lakeside grove with open sky windows around the wings. Lighting: soft daylight with cool atmospheric depth. Color direction: cream, warm brown, charcoal, moss green, and pale teal sky. Mood: delicate, alert, and natural-history refined. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-balochisauridae,family,Balochisauridae,3,Saurischia,,"Balochisaurus, Marisaurus, Qaikshaheen",sauropod_robust,robust sauropod card: full-body grounded stance with heavy torso and stable limb posture emphasized,"long neck, small head, broad deep torso, stout limbs, long tail, immense herbivorous build",open woodland or floodplain with low shrubs and broad sky,soft warm daylight,"weathered brown, taupe, olive, horn-gray, and muted sky blue","massive, dependable, and serene",medium,draft_ready,,"Create a square illustrated dinosaur family card for Balochisauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using robust sauropod card: full-body grounded stance with heavy torso and stable limb posture emphasized. Emphasize the defining anatomy: long neck, small head, broad deep torso, stout limbs, long tail, immense herbivorous build. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open woodland or floodplain with low shrubs and broad sky. Lighting: soft warm daylight. Color direction: weathered brown, taupe, olive, horn-gray, and muted sky blue. Mood: massive, dependable, and serene. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-baptornithidae,family,Baptornithidae,2,Saurischia,Hesperornithiformes,"Baptornis, Judinornis",diving_bird,aquatic bird card: full-body shoreline or water-entry pose with body streamlined and feet readable,"diving bird body, streamlined torso, strong feet, reduced or specialized wings where appropriate, elongated neck or head profile",open lake or coastal margin with calm water and distant horizon,clear daylight with cool reflected light,"slate gray, cream, water blue, reed green, and muted brown","sleek, aquatic, and composed",high,needs_light_review,Low species count; choose a representative body plan carefully.,"Create a square illustrated dinosaur family card for Baptornithidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using aquatic bird card: full-body shoreline or water-entry pose with body streamlined and feet readable. Emphasize the defining anatomy: diving bird body, streamlined torso, strong feet, reduced or specialized wings where appropriate, elongated neck or head profile. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open lake or coastal margin with calm water and distant horizon. Lighting: clear daylight with cool reflected light. Color direction: slate gray, cream, water blue, reed green, and muted brown. Mood: sleek, aquatic, and composed. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-bohaiornithidae,family,Bohaiornithidae,6,Saurischia,,"Bohaiornis, Longusunguis, Parabohaiornis",early_bird_perching,"early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable","small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile",branchy woodland edge or lakeside grove with open sky windows around the wings,soft daylight with cool atmospheric depth,"cream, warm brown, charcoal, moss green, and pale teal sky","delicate, alert, and natural-history refined",medium,draft_ready,Many of these lineages need a final anatomical check for wing and tail proportions.,"Create a square illustrated dinosaur family card for Bohaiornithidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable. Emphasize the defining anatomy: small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: branchy woodland edge or lakeside grove with open sky windows around the wings. Lighting: soft daylight with cool atmospheric depth. Color direction: cream, warm brown, charcoal, moss green, and pale teal sky. Mood: delicate, alert, and natural-history refined. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-brachiosauridae,family,Brachiosauridae,11,Saurischia,,"Giraffatitan, Abydosaurus, Brachiosaurus",sauropod_high_browser,high-browser sauropod card: full-body composition with tall forequarters and neck reaching upward through the square frame,"long neck, small head, tall shoulders, columnar limbs, immense body mass, long tail",open woodland or river plain with tall trees and clear air around the neck silhouette,bright daylight with cool atmospheric depth,"stone gray, dusty olive, pale tan, bark brown, and soft blue-green sky","majestic, towering, and calm",high,draft_ready,,"Create a square illustrated dinosaur family card for Brachiosauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using high-browser sauropod card: full-body composition with tall forequarters and neck reaching upward through the square frame. Emphasize the defining anatomy: long neck, small head, tall shoulders, columnar limbs, immense body mass, long tail. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open woodland or river plain with tall trees and clear air around the neck silhouette. Lighting: bright daylight with cool atmospheric depth. Color direction: stone gray, dusty olive, pale tan, bark brown, and soft blue-green sky. Mood: majestic, towering, and calm. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-brodavidae,family,Brodavidae,4,Saurischia,Hesperornithiformes,Brodavis,diving_bird,aquatic bird card: full-body shoreline or water-entry pose with body streamlined and feet readable,"diving bird body, streamlined torso, strong feet, reduced or specialized wings where appropriate, elongated neck or head profile",open lake or coastal margin with calm water and distant horizon,clear daylight with cool reflected light,"slate gray, cream, water blue, reed green, and muted brown","sleek, aquatic, and composed",high,draft_ready,,"Create a square illustrated dinosaur family card for Brodavidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using aquatic bird card: full-body shoreline or water-entry pose with body streamlined and feet readable. Emphasize the defining anatomy: diving bird body, streamlined torso, strong feet, reduced or specialized wings where appropriate, elongated neck or head profile. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open lake or coastal margin with calm water and distant horizon. Lighting: clear daylight with cool reflected light. Color direction: slate gray, cream, water blue, reed green, and muted brown. Mood: sleek, aquatic, and composed. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-caenagnathidae,family,Caenagnathidae,17,Saurischia,,"Leptorhynchos, Microvenator, Anomalipes",oviraptor_beaked,"beaked-maniraptoran card: full-body 3/4 pose with crest, beak, feathered arms, and tail fan readable","beaked skull, family-appropriate crest, feathered body or arms, grasping hands, agile bipedal build",desert edge or open floodplain with low shrubs and clear silhouette spacing,warm diffuse daylight,"dusty tan, cream, muted red-brown, charcoal, and soft sage green","ornate, intelligent, and distinctive",medium,draft_ready,,"Create a square illustrated dinosaur family card for Caenagnathidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using beaked-maniraptoran card: full-body 3/4 pose with crest, beak, feathered arms, and tail fan readable. Emphasize the defining anatomy: beaked skull, family-appropriate crest, feathered body or arms, grasping hands, agile bipedal build. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: desert edge or open floodplain with low shrubs and clear silhouette spacing. Lighting: warm diffuse daylight. Color direction: dusty tan, cream, muted red-brown, charcoal, and soft sage green. Mood: ornate, intelligent, and distinctive. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-camarasauridae,family,Camarasauridae,8,Saurischia,,"Camarasaurus, Haplocanthosaurus, Lourinhasaurus",sauropod_robust,robust sauropod card: full-body grounded stance with heavy torso and stable limb posture emphasized,"long neck, small head, broad deep torso, stout limbs, long tail, immense herbivorous build",open woodland or floodplain with low shrubs and broad sky,soft warm daylight,"weathered brown, taupe, olive, horn-gray, and muted sky blue","massive, dependable, and serene",medium,draft_ready,,"Create a square illustrated dinosaur family card for Camarasauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using robust sauropod card: full-body grounded stance with heavy torso and stable limb posture emphasized. Emphasize the defining anatomy: long neck, small head, broad deep torso, stout limbs, long tail, immense herbivorous build. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open woodland or floodplain with low shrubs and broad sky. Lighting: soft warm daylight. Color direction: weathered brown, taupe, olive, horn-gray, and muted sky blue. Mood: massive, dependable, and serene. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-carcharodontosauridae,family,Carcharodontosauridae,16,Saurischia,,"Carcharodontosaurus, Acrocanthosaurus, Concavenator",large_theropod_predator,"large-predator card: strong 3/4 stride, head and torso dominant, tail receding cleanly through the frame","large skull, serrated jaws, muscular neck, strong hind limbs, balanced tail, grasping forelimbs sized appropriately to the lineage",open floodplain or rocky woodland edge with simplified terrain and atmospheric distance,warm directional daylight with subtle haze,"charcoal, bark brown, sandstone, dusty olive, and warm amber highlights","powerful, noble, and dramatic without feeling monstrous",medium,draft_ready,,"Create a square illustrated dinosaur family card for Carcharodontosauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using large-predator card: strong 3/4 stride, head and torso dominant, tail receding cleanly through the frame. Emphasize the defining anatomy: large skull, serrated jaws, muscular neck, strong hind limbs, balanced tail, grasping forelimbs sized appropriately to the lineage. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open floodplain or rocky woodland edge with simplified terrain and atmospheric distance. Lighting: warm directional daylight with subtle haze. Color direction: charcoal, bark brown, sandstone, dusty olive, and warm amber highlights. Mood: powerful, noble, and dramatic without feeling monstrous. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-cathayornithidae,family,Cathayornithidae,2,Saurischia,Cathayornithiformes,"Gracilornis, Longchengornis",early_bird_perching,"early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable","small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile",branchy woodland edge or lakeside grove with open sky windows around the wings,soft daylight with cool atmospheric depth,"cream, warm brown, charcoal, moss green, and pale teal sky","delicate, alert, and natural-history refined",medium,needs_light_review,Many of these lineages need a final anatomical check for wing and tail proportions. Low species count; choose a representative body plan carefully.,"Create a square illustrated dinosaur family card for Cathayornithidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable. Emphasize the defining anatomy: small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: branchy woodland edge or lakeside grove with open sky windows around the wings. Lighting: soft daylight with cool atmospheric depth. Color direction: cream, warm brown, charcoal, moss green, and pale teal sky. Mood: delicate, alert, and natural-history refined. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
